ID,tactics
T1548,"DefenseEvasion,PrivilegeEscalation"
T1548.002,"DefenseEvasion,PrivilegeEscalation"
T1548.004,"DefenseEvasion,PrivilegeEscalation"
T1548.001,"DefenseEvasion,PrivilegeEscalation"
T1548.003,"DefenseEvasion,PrivilegeEscalation"
T1134,"DefenseEvasion,PrivilegeEscalation"
T1134.002,"DefenseEvasion,PrivilegeEscalation"
T1134.003,"DefenseEvasion,PrivilegeEscalation"
T1134.004,"DefenseEvasion,PrivilegeEscalation"
T1134.005,"DefenseEvasion,PrivilegeEscalation"
T1134.001,"DefenseEvasion,PrivilegeEscalation"
T1531,Impact
T1087,Discovery
T1087.004,Discovery
T1087.002,Discovery
T1087.003,Discovery
T1087.001,Discovery
T1098,Persistence
T1098.001,Persistence
T1098.003,Persistence
T1098.002,Persistence
T1098.005,Persistence
T1098.004,Persistence
T1583,ResourceDevelopment
T1583.005,ResourceDevelopment
T1583.002,ResourceDevelopment
T1583.001,ResourceDevelopment
T1583.004,ResourceDevelopment
T1583.003,ResourceDevelopment
T1583.006,ResourceDevelopment
T1595,Reconnaissance
T1595.001,Reconnaissance
T1595.002,Reconnaissance
T1595.003,Reconnaissance
T1557,"Collection,CredentialAccess"
T1557.002,"Collection,CredentialAccess"
T1557.003,"Collection,CredentialAccess"
T1557.001,"Collection,CredentialAccess"
T1071,CommandandControl
T1071.004,CommandandControl
T1071.002,CommandandControl
T1071.003,CommandandControl
T1071.001,CommandandControl
T1010,Discovery
T1560,Collection
T1560.003,Collection
T1560.002,Collection
T1560.001,Collection
T1123,Collection
T1119,Collection
T1020,Exfiltration
T1020.001,Exfiltration
T1197,"DefenseEvasion,Persistence"
T1547,"Persistence,PrivilegeEscalation"
T1547.014,"Persistence,PrivilegeEscalation"
T1547.002,"Persistence,PrivilegeEscalation"
T1547.006,"Persistence,PrivilegeEscalation"
T1547.008,"Persistence,PrivilegeEscalation"
T1547.015,"Persistence,PrivilegeEscalation"
T1547.010,"Persistence,PrivilegeEscalation"
T1547.012,"Persistence,PrivilegeEscalation"
T1547.007,"Persistence,PrivilegeEscalation"
T1547.001,"Persistence,PrivilegeEscalation"
T1547.005,"Persistence,PrivilegeEscalation"
T1547.009,"Persistence,PrivilegeEscalation"
T1547.003,"Persistence,PrivilegeEscalation"
T1547.004,"Persistence,PrivilegeEscalation"
T1547.013,"Persistence,PrivilegeEscalation"
T1037,"Persistence,PrivilegeEscalation"
T1037.002,"Persistence,PrivilegeEscalation"
T1037.001,"Persistence,PrivilegeEscalation"
T1037.003,"Persistence,PrivilegeEscalation"
T1037.004,"Persistence,PrivilegeEscalation"
T1037.005,"Persistence,PrivilegeEscalation"
T1217,Discovery
T1176,Persistence
T1185,Collection
T1110,CredentialAccess
T1110.004,CredentialAccess
T1110.002,CredentialAccess
T1110.001,CredentialAccess
T1110.003,CredentialAccess
T1612,DefenseEvasion
T1115,Collection
T1580,Discovery
T1538,Discovery
T1526,Discovery
T1619,Discovery
T1059,Execution
T1059.002,Execution
T1059.007,Execution
T1059.008,Execution
T1059.001,Execution
T1059.006,Execution
T1059.004,Execution
T1059.005,Execution
T1059.003,Execution
T1092,CommandandControl
T1586,ResourceDevelopment
T1586.002,ResourceDevelopment
T1586.001,ResourceDevelopment
T1554,Persistence
T1584,ResourceDevelopment
T1584.005,ResourceDevelopment
T1584.002,ResourceDevelopment
T1584.001,ResourceDevelopment
T1584.004,ResourceDevelopment
T1584.003,ResourceDevelopment
T1584.006,ResourceDevelopment
T1609,Execution
T1613,Discovery
T1136,Persistence
T1136.003,Persistence
T1136.002,Persistence
T1136.001,Persistence
T1543,"Persistence,PrivilegeEscalation"
T1543.001,"Persistence,PrivilegeEscalation"
T1543.004,"Persistence,PrivilegeEscalation"
T1543.002,"Persistence,PrivilegeEscalation"
T1543.003,"Persistence,PrivilegeEscalation"
T1555,CredentialAccess
T1555.003,CredentialAccess
T1555.001,CredentialAccess
T1555.005,CredentialAccess
T1555.002,CredentialAccess
T1555.004,CredentialAccess
T1485,Impact
T1132,CommandandControl
T1132.002,CommandandControl
T1132.001,CommandandControl
T1486,Impact
T1565,Impact
T1565.003,Impact
T1565.001,Impact
T1565.002,Impact
T1001,CommandandControl
T1001.001,CommandandControl
T1001.003,CommandandControl
T1001.002,CommandandControl
T1074,Collection
T1074.001,Collection
T1074.002,Collection
T1030,Exfiltration
T1530,Collection
T1602,Collection
T1602.002,Collection
T1602.001,Collection
T1213,Collection
T1213.003,Collection
T1213.001,Collection
T1213.002,Collection
T1005,Collection
T1039,Collection
T1025,Collection
T1622,"DefenseEvasion,Discovery"
T1491,Impact
T1491.002,Impact
T1491.001,Impact
T1140,DefenseEvasion
T1610,"DefenseEvasion,Execution"
T1587,ResourceDevelopment
T1587.002,ResourceDevelopment
T1587.003,ResourceDevelopment
T1587.004,ResourceDevelopment
T1587.001,ResourceDevelopment
T1006,DefenseEvasion
T1561,Impact
T1561.001,Impact
T1561.002,Impact
T1484,"DefenseEvasion,PrivilegeEscalation"
T1484.002,"DefenseEvasion,PrivilegeEscalation"
T1484.001,"DefenseEvasion,PrivilegeEscalation"
T1482,Discovery
T1189,InitialAccess
T1568,CommandandControl
T1568.003,CommandandControl
T1568.002,CommandandControl
T1568.001,CommandandControl
T1114,Collection
T1114.003,Collection
T1114.001,Collection
T1114.002,Collection
T1573,CommandandControl
T1573.002,CommandandControl
T1573.001,CommandandControl
T1499,Impact
T1499.003,Impact
